Ифрит; Ад; Враждебные мобы
Зомби-наездник; Верхний мир; Враждебные мобы
Крипер; Верхний мир; Враждебные мобы
Утопленник; Верхний мир; Враждебные мобы
Древний страж; Верхний мир; Враждебные мобы
Чешуйница Края; Верхний мир, Ад, Край; Враждебные мобы
Вызыватель; Верхний мир; Враждебные мобы
Гаст; Ад; Враждебные мобы
Страж; Верхний мир; Враждебные мобы
Хоглин; Ад; Враждебные мобы
Кадавр; Верхний мир; Враждебные мобы
Лавовый куб; Ад; Враждебные мобы
Фантом; Верхний мир; Враждебные мобы
Жестокий пинглин; Ад; Враждебные мобы
Разбойник; Верхний мир; Враждебные мобы
Разоритель; Верхний мир; Враждебные мобы
Шалкер; Край; Враждебные мобы
Чешуйница; Верхний мир; Враждебные мобы
Скелет; Верхний мир; Враждебные мобы
Cкелет-наездник; Верхний мир; Враждебные мобы
Слизень; Верхний мир; Враждебные мобы
Зимогор; Верхний мир; Враждебные мобы
Досаждатель; Верхний мир; Враждебные мобы
Поборник; Верхний мир; Враждебные мобы
Ведьма; Верхний мир; Враждебные мобы
Скелет-иссушитель; Ад; Враждебные мобы
Зоглин; Ад; Враждебные мобы
Зомби; Верхний мир; Враждебные мобы
Зомби-житель; Верхний мир; Враждебные мобы
Летучая мышь; Верхний мир; Дружелюбные мобы
Кошка; Верхний мир; Дружелюбные мобы
Курица; Верхний мир; Дружелюбные мобы
Треска; Верхний мир; Дружелюбные мобы
Корова; Верхний мир; Дружелюбные мобы
Лошадь; Верхний мир; Дружелюбные мобы
Лиса; Верхний мир; Дружелюбные мобы
Грибная корова; Верхний мир; Дружелюбные мобы
Оцелот; Верхний мир; Дружелюбные мобы
Попугай; Верхний мир; Дружелюбные мобы
Свинья; Верхний мир; Дружелюбные мобы
Кролик; Верхний мир; Дружелюбные мобы
Лосось; Верхний мир; Дружелюбные мобы
Овца; Верхний мир; Дружелюбные мобы
Снежный голем; Верхний мир; Дружелюбные мобы
Спрут; Верхний мир; Дружелюбные мобы
Страйдер; Верхний мир; Дружелюбные мобы
Тропическая рыба; Верхний мир; Дружелюбные мобы
Черепаха; Верхний мир; Дружелюбные мобы
Деревенский житель; Верхний мир; Дружелюбные мобы
Странствующий торговец; Верхний мир; Дружелюбные мобы
Попугай; Верхний мир; Приручаемые мобы
Кошка; Верхний мир; Приручаемые мобы
Лама; Верхний мир; Приручаемые мобы
Волк; Верхний мир; Приручаемые мобы
Иссушитель; Верхний мир, Ад, Край; Создаваемые мобы
Снежный голем; Верхний мир; Создаваемые мобы
Железный голем; Верхний мир; Создаваемые мобы
Иссушитель; Верхний мир, Ад, Край; Боссы
Дракон края; Край; Боссы
Лама; Верхний мир; Приручаемые мобы
Железный голем; Верхний мир; Нейтральные мобы
Волк; Верхний мир; Нейтральные мобы
Белый медведь; Верхний мир; Нейтральные мобы
Дельфин; Верхний мир; Нейтральные мобы
Зомбифицированный пиглин; Ад; Нейтральные мобы
Иглобрюх; Верхний мир; Нейтральные мобы
Панда; Верхний мир; Нейтральные мобы
Паук; Верхний мир; Нейтральные мобы
Пещерный паук; Верхний мир; Нейтральные мобы
Пиглин; Ад; Нейтральные мобы
Пчела; Верхний мир; Нейтральные мобы
Странник Края; Край; Нейтральные мобы
